name,uni,coll,header,image,p,d,a,n,pic
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n93642,"Lee, Hyun Jung",/file/n432912/thumbnail_Lee_Hyun-Jung-200x300.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/n116093,"Lee, Katherine D",/file/n52561/thumbnail_1200x1200-katherine-lee.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/pid56048,"Lewin, Paul A",/file/n837952/thumbnail_1200x1200-paul-lewin.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n166226,Plant Sciences,http://vivo.nkn.uidaho.edu/individual/n98441,"Liang, Xi",/file/n439730/thumbnail_xi-liang.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n127534,"Lin, Amy Hui-Mei",/file/n37250/thumbnail_1200x1200-amy-lin.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n166226,Plant Sciences,http://vivo.nkn.uidaho.edu/individual/n51256,"Love, Stephen",/file/n56016/thumbnail_1200x1200-stephen-love.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n36767,"Luckhart, Shirley",/file/n491544/thumbnail_unknown-person.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/n96545,"Maas, Alexander",/file/n137933/thumbnail_1200x1200-alexander-maas.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/n68533,"Mahler, Robert L",/file/n117703/thumbnail_Robert-Mahler.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/n19593,"Makus, Larry",/file/n498335/thumbnail_larry-makus.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n71647,"Marshall, Juliet M",/file/n180994/thumbnail_1200x1200-juliet-marshall.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n53287,"Matthews, Sara",/file/n524509/thumbnail_sara-matthews.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/n48092,"McDaniel, Paul A",/file/n15784/thumbnail_McDaniel_196x208.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/n1072951177,"McGuire, Mark A",/file/n848850/thumbnail_1200x1200-Mark-McGuire.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/pid94485,"McIntosh, Christopher S",/file/n153593/thumbnail_1200x1200-chris-mcintosh.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n34965,"Miner, Katie",/file/n132619/thumbnail_katie-miner.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n1306295525,"Minnich, Scott A",/file/n11381/thumbnail_minnich.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n1306295525,"Minnich, Scott A",/file/n19538/thumbnail_minnich.jpg
